Year_Country,Country,Year,co2,coal_co2,total_ghg,methane,nitrous_oxide,Population
2015_Dominican Republic,Dominican Republic,2015,23.495,2.89,27.77,8.99,3.11,10281675.0
2016_Dominican Republic,Dominican Republic,2016,24.645,2.873,28.9,9.12,3.11,10397738.0
1990_Egypt,Egypt,1990,75.218,3.36,129.33,24.98,15.51,56134478.0
1991_Egypt,Egypt,1991,77.296,2.697,134.97,27.65,16.06,57424552.0
1992_Egypt,Egypt,1992,79.94,2.59,140.04,30.13,15.91,58666812.0
1993_Egypt,Egypt,1993,92.278,3.415,142.33,32.35,16.57,59880656.0
1994_Egypt,Egypt,1994,84.556,3.693,138.26,34.55,15.59,61095804.0
1995_Egypt,Egypt,1995,94.89,2.451,147.2,36.65,17.17,62334025.0
1996_Egypt,Egypt,1996,93.569,3.43,154.63,38.87,17.51,63601632.0
1997_Egypt,Egypt,1997,107.513,2.851,164.08,41.53,17.12,64892269.0
1998_Egypt,Egypt,1998,121.466,2.792,170.85,42.59,17.61,66200259.0
1999_Egypt,Egypt,1999,124.496,2.506,179.72,45.98,17.68,67515591.0
2000_Egypt,Egypt,2000,140.35,3.144,180.36,48.39,18.42,68831561.0
2001_Egypt,Egypt,2001,124.294,2.748,192.78,48.26,18.71,70152662.0
2002_Egypt,Egypt,2002,125.782,2.957,197.2,49.65,18.91,71485044.0
2003_Egypt,Egypt,2003,146.463,3.063,204.5,49.97,22.35,72826102.0
2004_Egypt,Egypt,2004,149.143,3.191,215.21,50.5,21.01,74172073.0
2005_Egypt,Egypt,2005,165.044,3.067,234.14,50.7,21.79,75523576.0
2006_Egypt,Egypt,2006,176.019,2.928,243.29,52.15,20.03,76873670.0
2007_Egypt,Egypt,2007,185.907,2.917,259.48,53.7,21.46,78232124.0
2008_Egypt,Egypt,2008,194.764,2.854,271.34,54.75,25.21,79636081.0
2009_Egypt,Egypt,2009,203.17,2.689,274.87,53.6,23.33,81134789.0
2010_Egypt,Egypt,2010,200.841,4.126,277.42,53.53,25.26,82761244.0
2011_Egypt,Egypt,2011,213.027,1.7,283.9,55.07,24.54,84529251.0
2012_Egypt,Egypt,2012,208.718,1.803,294.69,56.0,23.54,86422240.0
2013_Egypt,Egypt,2013,206.949,1.7,292.44,55.67,23.71,88404652.0
2014_Egypt,Egypt,2014,221.668,1.495,297.7,55.88,23.17,90424668.0
2015_Egypt,Egypt,2015,219.167,1.345,303.77,55.57,22.55,92442549.0
2016_Egypt,Egypt,2016,234.123,1.608,310.42,56.31,22.67,94447071.0
1993_El Salvador,El Salvador,1993,3.976,0.004,9.89,3.67,1.36,5490478.0
1994_El Salvador,El Salvador,1994,4.513,0.004,10.53,3.83,1.35,5561916.0
1995_El Salvador,El Salvador,1995,4.998,0.004,10.79,3.67,1.25,5628602.0
1996_El Salvador,El Salvador,1996,4.414,0.004,10.7,3.96,1.43,5689943.0
1997_El Salvador,El Salvador,1997,5.416,0.004,11.53,3.84,1.44,5746288.0
1998_El Salvador,El Salvador,1998,5.731,0.004,11.58,3.73,1.29,5797764.0
1999_El Salvador,El Salvador,1999,5.588,0.004,11.8,3.9,1.34,5844834.0
2000_El Salvador,El Salvador,2000,5.671,0.004,11.66,3.82,1.25,5887930.0
2001_El Salvador,El Salvador,2001,5.857,0.004,12.37,4.11,1.32,5927001.0
2003_El Salvador,El Salvador,2003,6.435,0.004,12.93,4.24,1.26,5994075.0
2004_El Salvador,El Salvador,2004,6.254,0.004,13.02,4.3,1.34,6023801.0
2005_El Salvador,El Salvador,2005,6.298,0.004,13.54,4.34,1.47,6052124.0
2006_El Salvador,El Salvador,2006,6.718,0.004,13.84,4.46,1.41,6079395.0
2007_El Salvador,El Salvador,2007,6.846,0.004,14.45,4.56,1.52,6105810.0
2008_El Salvador,El Salvador,2008,6.405,0.004,13.8,4.62,1.6,6131767.0
2009_El Salvador,El Salvador,2009,6.312,0.004,13.5,4.54,1.5,6157678.0
2010_El Salvador,El Salvador,2010,6.319,0.004,13.22,4.41,1.51,6183877.0
2011_El Salvador,El Salvador,2011,6.499,0.004,13.02,4.12,1.47,6210567.0
2012_El Salvador,El Salvador,2012,6.472,0.004,13.2,4.28,1.44,6237922.0
2013_El Salvador,El Salvador,2013,6.094,0.004,12.43,3.98,1.32,6266076.0
2014_El Salvador,El Salvador,2014,6.151,0.004,12.7,4.18,1.24,6295124.0
2015_El Salvador,El Salvador,2015,6.675,0.004,13.38,4.19,1.29,6325121.0
2016_El Salvador,El Salvador,2016,6.646,0.004,13.48,4.03,1.23,6356137.0
1990_Estonia,Estonia,1990,37.65,25.175,35.16,2.28,1.99,1565246.0
1991_Estonia,Estonia,1991,33.823,22.22,31.43,2.25,1.87,1548220.0
1992_Estonia,Estonia,1992,24.355,17.736,23.79,2.28,1.62,1520811.0
1993_Estonia,Estonia,1993,19.404,13.568,17.95,2.06,1.49,1488060.0
1994_Estonia,Estonia,1994,20.036,14.113,17.11,1.76,1.35,1457090.0
1995_Estonia,Estonia,1995,18.213,13.071,15.32,1.71,1.28,1433026.0
1996_Estonia,Estonia,1996,19.134,13.572,16.16,1.65,1.24,1417741.0
1997_Estonia,Estonia,1997,18.645,13.168,15.74,1.6,1.23,1409678.0
1998_Estonia,Estonia,1998,16.917,11.495,15.21,1.55,1.24,1406350.0
1999_Estonia,Estonia,1999,15.912,10.896,13.98,1.51,1.18,1403784.0
2000_Estonia,Estonia,2000,15.485,10.848,13.55,1.44,1.18,1399111.0
2001_Estonia,Estonia,2001,15.866,10.665,21.37,1.42,1.17,1391739.0
2002_Estonia,Estonia,2002,15.349,10.369,21.33,1.5,1.18,1382737.0
2003_Estonia,Estonia,2003,17.235,12.146,23.01,1.39,1.19,1372904.0
2004_Estonia,Estonia,2004,17.368,12.055,23.08,1.39,1.21,1363570.0
2005_Estonia,Estonia,2005,17.156,11.804,23.19,1.32,1.19,1355650.0
2006_Estonia,Estonia,2006,16.502,11.096,16.6,1.34,1.2,1349373.0
2007_Estonia,Estonia,2007,20.022,14.318,20.35,1.28,1.23,1344295.0
2008_Estonia,Estonia,2008,17.875,12.376,18.9,1.27,1.29,1340067.0
2009_Estonia,Estonia,2009,14.489,10.075,15.47,1.23,1.24,1336140.0
2010_Estonia,Estonia,2010,18.995,14.267,19.5,1.24,1.26,1332103.0
2011_Estonia,Estonia,2011,19.091,14.287,21.77,1.18,1.28,1327701.0
2012_Estonia,Estonia,2012,17.846,12.647,20.63,1.18,1.31,1323163.0
2013_Estonia,Estonia,2013,19.738,14.569,23.04,1.16,1.33,1319068.0
2014_Estonia,Estonia,2014,18.885,14.083,21.66,1.13,1.37,1316273.0
2015_Estonia,Estonia,2015,15.859,11.269,19.18,1.12,1.4,1315330.0
2016_Estonia,Estonia,2016,17.567,12.751,20.38,1.1,1.34,1316507.0
1990_Eswatini,Eswatini,1990,0.96,0.423,2.38,1.32,0.52,822423.0
1991_Eswatini,Eswatini,1991,0.872,0.326,2.33,1.36,0.52,845267.0
1992_Eswatini,Eswatini,1992,0.832,0.264,2.32,1.4,0.55,866995.0
1993_Eswatini,Eswatini,1993,0.711,0.133,2.02,1.29,0.48,887706.0
1994_Eswatini,Eswatini,1994,1.077,0.484,2.38,1.33,0.46,907622.0
1995_Eswatini,Eswatini,1995,1.063,0.454,2.4,1.36,0.47,926836.0
1996_Eswatini,Eswatini,1996,0.788,0.342,2.42,1.44,0.49,945506.0
1997_Eswatini,Eswatini,1997,1.143,0.564,3.27,1.44,0.47,963416.0
1998_Eswatini,Eswatini,1998,1.161,0.564,3.37,1.5,0.49,979922.0
1999_Eswatini,Eswatini,1999,1.238,0.583,3.32,1.48,0.46,994105.0
2000_Eswatini,Eswatini,2000,1.209,0.535,3.28,1.49,0.45,1005432.0
2001_Eswatini,Eswatini,2001,1.096,0.506,3.11,1.4,0.4,1013608.0
2002_Eswatini,Eswatini,2002,1.081,0.487,3.15,1.45,0.41,1019054.0
2003_Eswatini,Eswatini,2003,1.004,0.398,3.17,1.52,0.44,1022796.0
2004_Eswatini,Eswatini,2004,1.0,0.392,3.17,1.54,0.44,1026287.0
2005_Eswatini,Eswatini,2005,1.015,0.382,3.17,1.54,0.44,1030575.0
2006_Eswatini,Eswatini,2006,1.015,0.385,3.06,1.47,0.4,1036095.0
2007_Eswatini,Eswatini,2007,1.041,0.399,3.38,1.64,0.5,1042651.0
2008_Eswatini,Eswatini,2008,1.022,0.414,3.29,1.53,0.48,1049948.0
2009_Eswatini,Eswatini,2009,1.059,0.381,3.05,1.41,0.42,1057462.0
2010_Eswatini,Eswatini,2010,0.997,0.369,3.13,1.45,0.46,1064841.0
2011_Eswatini,Eswatini,2011,1.008,0.375,3.14,1.45,0.45,1072029.0
2012_Eswatini,Eswatini,2012,1.169,0.52,3.34,1.47,0.46,1079285.0
2013_Eswatini,Eswatini,2013,1.4,0.676,3.23,1.48,0.46,1086843.0
2014_Eswatini,Eswatini,2014,0.769,0.055,3.36,1.49,0.46,1095022.0
2015_Eswatini,Eswatini,2015,0.868,0.136,3.2,1.48,0.44,1104038.0
2016_Eswatini,Eswatini,2016,1.055,0.246,3.24,1.49,0.44,1113994.0
2008_Ethiopia,Ethiopia,2008,6.418,0.04,157.42,80.32,39.44,82916236.0
2009_Ethiopia,Ethiopia,2009,6.453,0.11,160.68,82.85,41.34,85233923.0
2010_Ethiopia,Ethiopia,2010,6.337,0.132,164.86,85.97,43.16,87639962.0
2011_Ethiopia,Ethiopia,2011,7.402,0.451,150.38,86.66,43.09,90139928.0
2012_Ethiopia,Ethiopia,2012,8.109,0.594,166.22,92.71,45.65,92726982.0
2013_Ethiopia,Ethiopia,2013,9.781,0.773,177.13,97.28,46.8,95385793.0
2014_Ethiopia,Ethiopia,2014,12.017,1.074,172.89,98.63,48.43,98094264.0
2015_Ethiopia,Ethiopia,2015,12.694,1.092,178.58,102.17,49.38,100835453.0
2016_Ethiopia,Ethiopia,2016,14.347,1.4,188.66,105.76,50.69,103603461.0
1990_Fiji,Fiji,1990,0.805,0.063,0.22,0.76,0.35,728575.0
1991_Fiji,Fiji,1991,0.662,0.048,0.09,0.78,0.34,735398.0
1992_Fiji,Fiji,1992,0.741,0.052,0.17,0.79,0.34,744470.0
1993_Fiji,Fiji,1993,0.743,0.052,0.25,0.84,0.37,754962.0
1994_Fiji,Fiji,1994,0.738,0.051,0.3,0.87,0.38,765607.0
1995_Fiji,Fiji,1995,0.755,0.051,0.37,0.9,0.41,775428.0
1996_Fiji,Fiji,1996,0.814,0.059,0.41,0.89,0.4,784389.0
1997_Fiji,Fiji,1997,0.783,0.058,0.4,0.9,0.41,792736.0
1998_Fiji,Fiji,1998,0.762,0.052,0.35,0.89,0.4,800148.0
1999_Fiji,Fiji,1999,0.775,0.048,0.32,0.86,0.37,806302.0
2000_Fiji,Fiji,2000,0.833,0.044,0.36,0.87,0.35,811011.0
2001_Fiji,Fiji,2001,1.046,0.04,0.25,0.88,0.37,813923.0
2002_Fiji,Fiji,2002,0.88,0.044,0.07,0.85,0.38,815257.0
2003_Fiji,Fiji,2003,1.037,0.044,0.21,0.87,0.35,816078.0
1990_Finland,Finland,1990,56.968,22.132,45.1,8.35,6.56,4996220.0
1991_Finland,Finland,1991,55.23,21.388,45.07,8.26,5.99,5019134.0
1992_Finland,Finland,1992,54.284,20.678,41.93,8.19,5.82,5044928.0
1993_Finland,Finland,1993,56.348,23.401,43.18,8.15,5.92,5071782.0
1994_Finland,Finland,1994,61.711,27.593,49.81,8.05,6.09,5097090.0
1995_Finland,Finland,1995,58.14,24.657,45.77,7.83,6.07,5119012.0
1996_Finland,Finland,1996,64.057,29.757,52.28,7.72,6.07,5136984.0
1997_Finland,Finland,1997,62.719,28.497,50.3,7.57,6.1,5151740.0
1998_Finland,Finland,1998,59.37,23.718,46.57,7.3,5.94,5164236.0
1999_Finland,Finland,1999,58.892,23.036,45.65,7.1,5.89,5175921.0
2000_Finland,Finland,2000,57.038,21.985,44.09,6.76,5.88,5187953.0
2001_Finland,Finland,2001,62.536,26.125,58.68,6.58,5.8,5200475.0
2002_Finland,Finland,2002,65.06,28.305,61.06,6.29,5.98,5213368.0
2003_Finland,Finland,2003,72.658,35.015,69.28,6.07,5.99,5227106.0
2004_Finland,Finland,2004,68.961,31.638,65.3,5.78,6.12,5242175.0
2005_Finland,Finland,2005,57.047,21.034,53.06,5.49,6.33,5258933.0
2006_Finland,Finland,2006,68.389,31.584,60.38,5.59,5.99,5277490.0
2007_Finland,Finland,2007,66.765,30.347,58.39,5.37,6.18,5297741.0
2008_Finland,Finland,2008,58.617,23.674,50.29,5.26,6.5,5319452.0
2009_Finland,Finland,2009,55.937,22.894,46.69,5.14,5.38,5342266.0
2010_Finland,Finland,2010,64.103,29.141,54.75,5.15,5.04,5365784.0
2011_Finland,Finland,2011,56.667,24.07,72.7,5.01,4.58,5390036.0
2012_Finland,Finland,2012,51.229,19.59,66.87,4.94,4.58,5414769.0
2013_Finland,Finland,2013,51.728,21.36,67.44,4.81,4.66,5438984.0
2014_Finland,Finland,2014,47.645,19.31,63.37,4.68,4.7,5461410.0
2015_Finland,Finland,2015,44.126,16.836,60.15,4.61,4.68,5481128.0
2016_Finland,Finland,2016,47.229,18.641,63.16,4.49,4.64,5497714.0
1990_France,France,1990,392.998,80.23,466.55,77.48,61.17,56666861.0
1991_France,France,1991,417.134,85.814,491.9,77.41,61.61,56913580.0
1992_France,France,1992,406.979,77.783,478.19,76.68,59.52,57147213.0
1993_France,France,1993,387.667,62.974,460.13,76.83,59.89,57370375.0
1994_France,France,1994,381.026,61.693,454.24,76.74,60.76,57587122.0
1995_France,France,1995,385.975,62.843,463.07,77.06,61.83,57801887.0
1996_France,France,1996,402.403,65.213,482.0,76.18,64.46,58012055.0
1997_France,France,1997,395.245,61.191,472.39,74.58,64.02,58220657.0
1998_France,France,1998,413.906,71.185,487.9,74.59,57.06,58444245.0
1999_France,France,1999,411.544,66.279,477.77,74.3,51.49,58704381.0
2000_France,France,2000,405.901,65.576,474.74,75.38,49.27,59015092.0
2001_France,France,2001,410.533,56.032,425.19,75.18,50.17,59384126.0
2002_France,France,2002,406.01,58.493,417.55,73.05,47.84,59803434.0
2003_France,France,2003,411.946,59.117,422.77,71.71,47.86,60251591.0
2004_France,France,2004,413.149,58.171,419.89,70.24,45.29,60697977.0
2005_France,France,2005,415.518,61.992,420.5,69.03,44.04,61120128.0
2006_France,France,2006,405.761,59.437,434.96,67.98,43.16,61508924.0
2007_France,France,2007,395.428,61.339,428.16,67.91,44.04,61869229.0
2008_France,France,2008,387.992,56.14,422.46,67.79,42.13,62209207.0
2009_France,France,2009,368.631,45.182,405.18,66.4,39.69,62542883.0
2010_France,France,2010,376.576,49.075,409.04,66.03,38.64,62879535.0
2011_France,France,2011,353.735,41.909,353.48,64.01,36.67,63222229.0
2012_France,France,2012,355.932,46.53,356.76,63.24,37.32,63564224.0
2013_France,France,2013,357.537,49.317,357.6,62.73,38.32,63893521.0
2014_France,France,2014,325.886,39.107,324.66,61.91,38.34,64193550.0
2015_France,France,2015,329.91,37.618,331.3,61.06,38.92,64453194.0
2016_France,France,2016,333.579,35.683,329.6,59.87,37.54,64667590.0
1990_Georgia,Georgia,1990,15.945,1.058,47.97,16.23,2.44,5410400.0
1991_Georgia,Georgia,1991,15.869,0.944,37.82,14.28,2.24,5372996.0
1992_Georgia,Georgia,1992,15.277,0.968,29.84,11.78,1.98,5303925.0
1993_Georgia,Georgia,1993,9.916,0.638,23.57,9.81,1.67,5208954.0
1994_Georgia,Georgia,1994,6.068,0.337,16.2,8.39,1.39,5097126.0
1995_Georgia,Georgia,1995,2.29,0.157,12.72,7.29,1.29,4976252.0
1996_Georgia,Georgia,1996,4.054,0.161,11.09,7.36,1.39,4846627.0
1997_Georgia,Georgia,1997,4.426,0.029,10.42,7.38,1.49,4709596.0
1998_Georgia,Georgia,1998,4.939,0.077,9.9,7.35,1.55,4575396.0
1999_Georgia,Georgia,1999,4.311,0.062,9.63,7.38,1.69,4456652.0
2000_Georgia,Georgia,2000,4.5,0.059,9.95,7.4,1.78,4362184.0
2001_Georgia,Georgia,2001,3.732,0.055,8.14,6.46,1.59,4296981.0
2002_Georgia,Georgia,2002,3.352,0.055,7.46,6.41,1.56,4258573.0
2003_Georgia,Georgia,2003,3.735,0.114,8.01,6.77,1.53,4238930.0
2004_Georgia,Georgia,2004,4.276,0.172,8.12,6.5,1.68,4225811.0
2005_Georgia,Georgia,2005,5.018,0.18,8.79,6.08,1.85,4210158.0
2006_Georgia,Georgia,2006,6.097,0.18,9.1,6.02,1.81,4189721.0
2007_Georgia,Georgia,2007,6.365,0.381,9.92,5.89,1.75,4166859.0
2008_Georgia,Georgia,2008,5.309,0.454,9.03,5.81,1.73,4142648.0
2009_Georgia,Georgia,2009,6.136,0.51,9.75,5.73,1.76,4119490.0
2010_Georgia,Georgia,2010,6.208,0.798,9.49,5.73,1.79,4099095.0
2011_Georgia,Georgia,2011,7.805,1.077,14.42,5.67,2.02,4081012.0
2012_Georgia,Georgia,2012,8.252,1.18,15.25,5.74,2.17,4064097.0
2013_Georgia,Georgia,2013,8.009,1.205,15.54,5.72,2.34,4048701.0
2014_Georgia,Georgia,2014,8.934,1.172,16.5,5.71,2.31,4035310.0
2015_Georgia,Georgia,2015,9.747,1.11,16.88,5.44,2.21,4024180.0
2016_Georgia,Georgia,2016,10.066,1.034,17.23,5.39,2.22,4015457.0
1990_Germany,Germany,1990,1052.477,568.912,1107.23,131.62,65.83,79053984.0
1991_Germany,Germany,1991,1014.225,503.853,1077.61,127.0,64.44,79490831.0
1992_Germany,Germany,1992,965.893,454.135,1029.96,119.25,64.35,79963166.0
1993_Germany,Germany,1993,956.132,430.617,1022.25,118.58,61.21,80428557.0
1994_Germany,Germany,1994,939.815,418.041,1009.38,113.71,64.79,80832928.0
1995_Germany,Germany,1995,938.968,405.933,1002.76,111.9,62.9,81138653.0
1996_Germany,Germany,1996,959.151,400.629,1030.96,108.87,64.0,81323666.0
1997_Germany,Germany,1997,931.324,386.881,992.92,105.27,61.4,81399250.0
1998_Germany,Germany,1998,923.357,377.497,966.78,99.14,48.64,81402671.0
1999_Germany,Germany,1999,895.874,360.069,932.27,98.5,44.95,81389935.0
2000_Germany,Germany,2000,899.852,373.476,922.88,94.11,43.24,81400883.0
2001_Germany,Germany,2001,916.649,376.536,970.63,89.1,44.94,81453894.0
2002_Germany,Germany,2002,899.971,375.802,952.16,84.88,44.47,81535124.0
2003_Germany,Germany,2003,901.152,379.537,951.08,80.52,44.22,81614371.0
2004_Germany,Germany,2004,887.089,375.99,931.26,74.53,45.57,81646474.0
2005_Germany,Germany,2005,866.697,363.237,906.56,70.65,43.62,81602739.0
2006_Germany,Germany,2006,878.32,369.594,918.19,66.72,41.99,81472235.0
2007_Germany,Germany,2007,851.624,379.385,888.29,64.32,45.81,81277836.0
2008_Germany,Germany,2008,854.927,356.219,892.66,63.53,43.66,81065751.0
2009_Germany,Germany,2009,790.295,317.946,834.12,60.91,43.88,80899961.0
2010_Germany,Germany,2010,832.949,343.447,864.72,59.92,36.99,80827001.0
2011_Germany,Germany,2011,809.217,344.696,812.51,58.7,35.65,80855629.0
2012_Germany,Germany,2012,813.985,349.767,826.22,59.22,35.54,80972629.0
2013_Germany,Germany,2013,831.454,356.836,844.05,58.31,36.12,81174373.0
2014_Germany,Germany,2014,792.588,344.848,803.72,57.16,37.02,81450370.0
2015_Germany,Germany,2015,795.61,341.011,808.91,56.81,36.23,81787411.0
2016_Germany,Germany,2016,800.687,329.443,808.73,55.52,35.61,82193770.0
1990_Ghana,Ghana,1990,3.791,0.007,34.35,6.53,4.01,14773274.0
1991_Ghana,Ghana,1991,4.209,0.007,34.68,6.92,4.12,15207360.0
1992_Ghana,Ghana,1992,3.662,0.007,35.4,7.07,4.11,15653345.0
1993_Ghana,Ghana,1993,4.31,0.007,35.86,7.39,4.17,16106756.0
1994_Ghana,Ghana,1994,5.089,0.007,36.31,7.68,4.2,16561677.0
1995_Ghana,Ghana,1995,5.154,0.007,36.91,8.01,4.25,17014058.0
1996_Ghana,Ghana,1996,5.469,0.007,36.94,7.82,4.08,17462504.0
1997_Ghana,Ghana,1997,6.205,0.007,38.32,8.75,4.25,17908977.0
1990_Greece,Greece,1990,83.426,39.787,94.72,10.73,7.67,10225990.0
1991_Greece,Greece,1991,83.401,38.404,94.78,10.62,7.46,10315109.0
1992_Greece,Greece,1992,84.983,40.495,96.85,10.72,7.33,10420226.0
1993_Greece,Greece,1993,84.296,40.164,97.21,10.81,6.9,10533811.0
1994_Greece,Greece,1994,86.442,42.134,99.84,11.01,7.04,10644939.0
1995_Greece,Greece,1995,86.979,40.427,104.28,11.08,6.83,10745502.0
1996_Greece,Greece,1996,89.132,39.23,105.29,11.27,7.13,10832139.0
1997_Greece,Greece,1997,93.821,42.629,106.41,11.21,6.87,10906248.0
1998_Greece,Greece,1998,98.641,44.556,110.62,11.56,6.79,10970121.0
1999_Greece,Greece,1999,97.958,43.084,111.5,11.36,6.72,11027899.0
2000_Greece,Greece,2000,102.999,45.851,117.2,11.48,6.66,11082103.0
2001_Greece,Greece,2001,105.386,47.02,117.94,10.72,6.41,11134447.0
2002_Greece,Greece,2002,105.021,45.544,118.13,10.69,6.45,11182308.0
2003_Greece,Greece,2003,109.09,45.616,121.38,10.71,6.49,11218879.0
2004_Greece,Greece,2004,109.547,47.094,121.21,10.94,6.1,11234993.0
2005_Greece,Greece,2005,113.931,46.604,123.28,10.9,5.96,11224800.0
2006_Greece,Greece,2006,112.472,42.794,121.59,10.97,5.69,11185231.0
2007_Greece,Greece,2007,114.592,45.193,125.14,11.07,5.56,11120371.0
2008_Greece,Greece,2008,111.125,43.285,121.42,10.94,5.68,11040312.0
2009_Greece,Greece,2009,104.355,42.243,114.19,10.54,5.07,10959268.0
2010_Greece,Greece,2010,97.361,41.26,107.44,10.74,5.42,10887640.0
2011_Greece,Greece,2011,94.55,42.116,105.11,10.58,5.97,10829074.0
2012_Greece,Greece,2012,91.431,43.296,99.91,10.4,5.0,10781119.0
2013_Greece,Greece,2013,81.736,37.315,92.29,10.05,4.7,10740501.0
2014_Greece,Greece,2014,78.662,35.256,89.11,9.9,4.59,10701460.0
2015_Greece,Greece,2015,74.961,29.993,87.32,9.71,4.42,10659737.0
2016_Greece,Greece,2016,71.373,23.616,86.36,9.51,4.52,10615183.0
1999_Guatemala,Guatemala,1999,8.806,0.04,35.33,8.43,3.41,11387208.0
2000_Guatemala,Guatemala,2000,9.765,0.571,37.86,9.39,3.72,11650744.0
2001_Guatemala,Guatemala,2001,10.233,0.531,37.09,8.55,3.44,11924941.0
2002_Guatemala,Guatemala,2002,10.722,1.033,38.95,9.47,3.67,12208854.0
2003_Guatemala,Guatemala,2003,10.448,0.978,44.04,13.11,5.22,12500479.0
2004_Guatemala,Guatemala,2004,11.18,1.129,39.11,8.89,3.82,12796926.0
2005_Guatemala,Guatemala,2005,12.109,1.561,43.82,12.0,4.94,13096028.0
2006_Guatemala,Guatemala,2006,12.177,1.689,41.33,9.59,4.11,13397022.0
2007_Guatemala,Guatemala,2007,12.145,1.187,44.36,11.18,4.61,13700326.0
2008_Guatemala,Guatemala,2008,10.893,1.183,41.76,10.38,4.0,14006420.0
2009_Guatemala,Guatemala,2009,11.442,0.769,44.02,11.51,4.61,14316251.0
2010_Guatemala,Guatemala,2010,11.098,1.286,43.21,11.11,4.58,14630420.0
2011_Guatemala,Guatemala,2011,11.237,1.29,35.34,11.08,4.83,14948792.0
2012_Guatemala,Guatemala,2012,11.558,1.513,35.91,11.17,4.88,15270774.0
2013_Guatemala,Guatemala,2013,12.784,2.59,37.79,11.93,5.14,15595821.0
2014_Guatemala,Guatemala,2014,13.785,2.799,38.09,11.4,4.83,15923238.0
2015_Guatemala,Guatemala,2015,15.822,4.012,41.8,12.18,5.24,16252425.0
2016_Guatemala,Guatemala,2016,16.913,4.715,43.79,12.88,5.39,16583079.0
1990_Haiti,Haiti,1990,0.995,0.033,5.18,3.07,0.97,7037915.0
1991_Haiti,Haiti,1991,0.976,0.066,5.44,3.24,1.05,7178611.0
1992_Haiti,Haiti,1992,0.889,0.07,5.84,3.62,1.19,7319491.0
1990_Honduras,Honduras,1990,2.417,0.004,53.49,8.45,2.21,4955302.0
1991_Honduras,Honduras,1991,2.439,0.004,53.64,8.52,2.27,5098594.0
1992_Honduras,Honduras,1992,2.686,0.004,53.97,8.57,2.27,5244677.0
1993_Honduras,Honduras,1993,2.824,0.004,53.76,8.25,2.24,5394416.0
1994_Honduras,Honduras,1994,3.162,0.004,54.47,8.65,2.19,5548969.0
1995_Honduras,Honduras,1995,3.767,0.004,55.29,8.5,2.5,5709010.0
1996_Honduras,Honduras,1996,3.817,0.004,53.93,7.5,2.12,5874814.0
1997_Honduras,Honduras,1997,3.945,0.004,54.25,7.36,2.41,6045704.0
1998_Honduras,Honduras,1998,4.737,0.004,54.76,7.1,2.52,6220405.0
1999_Honduras,Honduras,1999,4.613,0.15,53.8,6.1,2.39,6397140.0
2000_Honduras,Honduras,2000,4.929,0.359,54.23,6.0,2.67,6574510.0
2001_Honduras,Honduras,2001,5.602,0.326,42.83,5.76,2.41,6751912.0
2002_Honduras,Honduras,2002,5.868,0.374,43.32,6.26,2.13,6929267.0
2003_Honduras,Honduras,2003,6.617,0.447,48.8,9.73,3.51,7106323.0
2004_Honduras,Honduras,2004,7.194,0.469,45.79,6.83,2.53,7282953.0
2005_Honduras,Honduras,2005,6.831,0.095,49.28,9.17,3.47,7458982.0
2006_Honduras,Honduras,2006,7.677,0.179,45.7,7.5,2.93,7634295.0
2007_Honduras,Honduras,2007,8.206,0.191,47.48,7.55,2.88,7808520.0
2008_Honduras,Honduras,2008,8.438,0.315,47.36,7.76,2.7,7980955.0
2009_Honduras,Honduras,2009,7.939,0.275,47.67,8.22,2.9,8150780.0
2010_Honduras,Honduras,2010,7.89,0.282,47.33,8.02,2.79,8317467.0
2011_Honduras,Honduras,2011,8.736,0.337,50.26,9.43,3.51,8480670.0
2012_Honduras,Honduras,2012,9.094,0.388,48.38,7.79,2.84,8640692.0
2013_Honduras,Honduras,2013,9.24,0.374,50.23,8.79,3.31,8798524.0
2014_Honduras,Honduras,2014,9.309,0.399,50.51,9.3,3.39,8955579.0
2015_Honduras,Honduras,2015,9.802,0.341,50.3,8.51,3.08,9112904.0
2016_Honduras,Honduras,2016,9.293,0.154,51.48,9.29,3.48,9270794.0
1990_Hungary,Hungary,1990,73.226,26.417,90.79,11.76,9.57,10377135.0
1991_Hungary,Hungary,1991,69.656,25.086,85.78,11.7,7.51,10363050.0
1992_Hungary,Hungary,1992,62.085,20.644,75.74,10.51,5.43,10358622.0
1993_Hungary,Hungary,1993,63.389,20.555,76.37,9.98,6.1,10359052.0
1994_Hungary,Hungary,1994,61.787,18.683,75.98,9.46,6.85,10357586.0
1995_Hungary,Hungary,1995,61.391,18.389,74.24,8.84,6.1,10349308.0
1996_Hungary,Hungary,1996,63.025,18.875,76.45,9.04,7.14,10332451.0
1997_Hungary,Hungary,1997,61.624,18.318,74.82,8.94,7.02,10308479.0
1998_Hungary,Hungary,1998,61.164,17.182,74.68,8.73,6.63,10279610.0
1999_Hungary,Hungary,1999,61.664,17.561,75.45,8.8,6.55,10249407.0
2000_Hungary,Hungary,2000,58.365,16.473,72.66,8.96,6.9,10220509.0
2001_Hungary,Hungary,2001,59.968,15.9,76.65,8.92,7.43,10193451.0
2002_Hungary,Hungary,2002,59.005,15.629,74.68,8.78,6.3,10167286.0
2003_Hungary,Hungary,2003,61.756,16.162,77.62,9.05,6.23,10141341.0
2004_Hungary,Hungary,2004,60.132,15.477,76.42,8.63,7.18,10114481.0
2005_Hungary,Hungary,2005,60.278,13.598,75.39,8.38,6.82,10085942.0
